path,bpm,key,target_bpm,speed,ini_cue,begin_cue,end_cue,begin_cue_adj,end_cue_adj,duration_orig,duration_sectioned,part_file_orig,part_file
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Crystal Waters - 100 Percent Pure Love (Original Mix).wav,120.0,Gm,122.5,1.0208333333333333,31.12,112.12,128.13,79.34693877551021,95.03020408163265,1:37.01,1:35.05,parts_temp_26/orig/Crystal Waters - 100 Percent Pure Love (Original Mix)_sectioned.wav,parts_temp_26/Crystal Waters - 100 Percent Pure Love (Original Mix)_sectioned.wav
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/DJ Spen, Crystal Waters - Party People (DJ Spen & Micfreak Vocal Mix).wav",124.0,Cm,122.5,0.9879032258064516,47.41,123.87,139.35,77.39624489795919,93.06579591836734,1:31.94,1:33.05,"parts_temp_26/orig/DJ Spen, Crystal Waters - Party People (DJ Spen & Micfreak Vocal Mix)_sectioned.wav","parts_temp_26/DJ Spen, Crystal Waters - Party People (DJ Spen & Micfreak Vocal Mix)_sectioned.wav"
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Janice Robinson - Children (Joe T Vannelli Tribe Remix).wav,124.98,Cm,122.5,0.9801568250920147,32.03,124.18,139.54,94.01556734693878,109.68652897959183,1:47.51,1:49.68,parts_temp_26/orig/Janice Robinson - Children (Joe T Vannelli Tribe Remix)_sectioned.wav,parts_temp_26/Janice Robinson - Children (Joe T Vannelli Tribe Remix)_sectioned.wav
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Rivo, Adriatique - Like A Dream (Extended Version).wav",123.0,Cm,122.5,0.9959349593495935,31.24,109.29,124.9,78.36857142857144,94.04228571428573,1:33.66,1:34.03,"parts_temp_26/orig/Rivo, Adriatique - Like A Dream (Extended Version)_sectioned.wav","parts_temp_26/Rivo, Adriatique - Like A Dream (Extended Version)_sectioned.wav"
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Swedish House Mafia, Adriatique, The Weeknd - Moth To A Flame (Adriatique Remix).wav",120.0,Cm,122.5,1.0208333333333333,62.99,158.0,175.99,93.07102040816326,110.69387755102042,1:53.00,1:50.71,"parts_temp_26/orig/Swedish House Mafia, Adriatique, The Weeknd - Moth To A Flame (Adriatique Remix)_sectioned.wav","parts_temp_26/Swedish House Mafia, Adriatique, The Weeknd - Moth To A Flame (Adriatique Remix)_sectioned.wav"
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Technotronic - Pump Up The Jam (Original Mix).wav,124.59,Cm,122.5,0.9832249779276026,15.48,92.59,108.0,78.42559102040816,94.09850448979591,1:32.52,1:34.09,parts_temp_26/orig/Technotronic - Pump Up The Jam (Original Mix)_sectioned.wav,parts_temp_26/Technotronic - Pump Up The Jam (Original Mix)_sectioned.wav
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/Vintage Culture, Innellea, Paige Cavell - Promised Land (Innellea Remix _ Extended).wav",125.0,Gm,122.5,0.98,30.93,121.18,137.49,92.09183673469389,108.73469387755102,1:46.56,1:48.72,"parts_temp_26/orig/Vintage Culture, Innellea, Paige Cavell - Promised Land (Innellea Remix _ Extended)_sectioned.wav","parts_temp_26/Vintage Culture, Innellea, Paige Cavell - Promised Land (Innellea Remix _ Extended)_sectioned.wav"
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/WhoMadeWho, Adriatique - Miracle (Original Mix).wav",123.0,Cm,122.5,0.9959349593495935,266.11,361.22,376.34,95.49820408163266,110.6799183673469,1:50.23,1:50.67,"parts_temp_26/orig/WhoMadeWho, Adriatique - Miracle (Original Mix)_sectioned.wav","parts_temp_26/WhoMadeWho, Adriatique - Miracle (Original Mix)_sectioned.wav"
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/WhoMadeWho, Adriatique, RÜFÜS DU SOL - Miracle - RÜFÜS DU SOL Remix (Original Mix).wav",123.0,Cm,122.5,0.9959349593495935,280.29,374.69,390.3,94.78530612244896,110.45902040816325,1:50.01,1:50.45,"parts_temp_26/orig/WhoMadeWho, Adriatique, RÜFÜS DU SOL - Miracle - RÜFÜS DU SOL Remix (Original Mix)_sectioned.wav","parts_temp_26/WhoMadeWho, Adriatique, RÜFÜS DU SOL - Miracle - RÜFÜS DU SOL Remix (Original Mix)_sectioned.wav"
"/Users/xaviergonzalez/Documents/repos/crowdstream/dj/WhoMadeWho, Blue Hawaii, Innellea - Kiss Me Hard (Innellea Remix).wav",124.0,Gm,122.5,0.9879032258064516,41.36,133.79,147.34,93.56179591836734,107.27771428571428,1:45.98,1:47.27,"parts_temp_26/orig/WhoMadeWho, Blue Hawaii, Innellea - Kiss Me Hard (Innellea Remix)_sectioned.wav","parts_temp_26/WhoMadeWho, Blue Hawaii, Innellea - Kiss Me Hard (Innellea Remix)_sectioned.wav"
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/hideyou-tinlicker.wav,124.0,Cm,122.5,0.9879032258064516,76.51,184.9,201.35,109.71722448979592,126.36865306122448,2:04.84,2:06.36,parts_temp_26/orig/hideyou-tinlicker_sectioned.wav,parts_temp_26/hideyou-tinlicker_sectioned.wav
/Users/xaviergonzalez/Documents/repos/crowdstream/dj/purpleline-bbohmer.wav,122.0,Gm,122.5,1.0040983606557377,63.06,157.48,173.22,94.03461224489796,109.71036734693878,1:50.16,1:49.72,parts_temp_26/orig/purpleline-bbohmer_sectioned.wav,parts_temp_26/purpleline-bbohmer_sectioned.wav
